Date,Close
1-Oct-2012,"$12,370.19"
2-Oct-2012,"$12,391.23"
3-Oct-2012,"$12,359.47"
4-Oct-2012,"$12,447.68"
5-Oct-2012,"$12,418.99"
9-Oct-2012,"$12,273.57"
10-Oct-2012,"$12,212.42"
11-Oct-2012,"$12,233.95"
12-Oct-2012,"$12,202.04"
15-Oct-2012,"$12,229.96"
16-Oct-2012,"$12,407.70"
17-Oct-2012,"$12,461.25"
18-Oct-2012,"$12,466.12"
19-Oct-2012,"$12,415.98"
22-Oct-2012,"$12,403.54"
23-Oct-2012,"$12,225.84"
24-Oct-2012,"$12,195.02"
25-Oct-2012,"$12,300.23"
26-Oct-2012,"$12,300.30"
29-Oct-2012,"$12,312.75"
30-Oct-2012,"$12,377.05"
31-Oct-2012,"$12,422.91"
1-Nov-2012,"$12,499.76"
2-Nov-2012,"$12,380.41"
5-Nov-2012,"$12,352.78"
6-Nov-2012,"$12,361.20"
7-Nov-2012,"$12,230.59"
8-Nov-2012,"$12,191.05"
9-Nov-2012,"$12,196.80"
12-Nov-2012,"$12,191.46"
13-Nov-2012,"$12,134.66"
14-Nov-2012,"$11,929.79"
15-Nov-2012,"$11,811.38"
16-Nov-2012,"$11,877.72"
19-Nov-2012,"$12,040.40"
20-Nov-2012,"$12,046.28"
21-Nov-2012,"$12,100.06"
22-Nov-2012,"$12,153.10"
23-Nov-2012,"$12,213.24"
26-Nov-2012,"$12,185.05"
27-Nov-2012,"$12,111.63"
28-Nov-2012,"$12,140.33"
29-Nov-2012,"$12,202.85"
30-Nov-2012,"$12,239.36"
3-Dec-2012,"$12,169.74"
4-Dec-2012,"$12,137.18"
5-Dec-2012,"$12,157.29"
6-Dec-2012,"$12,151.13"
7-Dec-2012,"$12,159.59"
10-Dec-2012,"$12,230.47"
11-Dec-2012,"$12,282.36"
12-Dec-2012,"$12,353.09"
13-Dec-2012,"$12,289.17"
14-Dec-2012,"$12,296.72"
17-Dec-2012,"$12,281.35"
18-Dec-2012,"$12,334.34"
19-Dec-2012,"$12,403.63"
20-Dec-2012,"$12,388.71"
21-Dec-2012,"$12,385.70"
24-Dec-2012,"$12,370.80"
27-Dec-2012,"$12,373.77"
28-Dec-2012,"$12,316.12"
31-Dec-2012,"$12,433.53"
2-Jan-2013,"$12,540.77"
3-Jan-2013,"$12,470.44"
4-Jan-2013,"$12,540.81"
7-Jan-2013,"$12,499.55"
8-Jan-2013,"$12,504.81"
9-Jan-2013,"$12,522.24"
10-Jan-2013,"$12,599.74"
11-Jan-2013,"$12,602.18"
14-Jan-2013,"$12,603.09"
15-Jan-2013,"$12,641.97"
16-Jan-2013,"$12,608.82"
17-Jan-2013,"$12,674.73"
18-Jan-2013,"$12,725.69"
21-Jan-2013,"$12,794.25"
22-Jan-2013,"$12,824.63"
23-Jan-2013,"$12,794.05"
24-Jan-2013,"$12,823.62"
25-Jan-2013,"$12,816.63"
28-Jan-2013,"$12,815.91"
29-Jan-2013,"$12,830.56"
30-Jan-2013,"$12,794.44"
31-Jan-2013,"$12,685.24"
1-Feb-2013,"$12,768.83"
4-Feb-2013,"$12,717.62"
5-Feb-2013,"$12,745.65"
6-Feb-2013,"$12,761.59"
7-Feb-2013,"$12,755.92"
8-Feb-2013,"$12,801.23"
11-Feb-2013,"$12,748.15"
12-Feb-2013,"$12,789.02"
13-Feb-2013,"$12,775.28"
14-Feb-2013,"$12,721.79"
15-Feb-2013,"$12,686.63"
19-Feb-2013,"$12,810.21"
20-Feb-2013,"$12,714.05"
21-Feb-2013,"$12,639.97"
22-Feb-2013,"$12,701.63"
25-Feb-2013,"$12,650.87"
26-Feb-2013,"$12,660.44"
27-Feb-2013,"$12,732.39"
28-Feb-2013,"$12,821.83"
1-Mar-2013,"$12,773.12"
4-Mar-2013,"$12,707.41"
5-Mar-2013,"$12,736.04"
6-Mar-2013,"$12,831.96"
7-Mar-2013,"$12,826.52"
8-Mar-2013,"$12,835.61"
11-Mar-2013,"$12,858.49"
12-Mar-2013,"$12,878.58"
13-Mar-2013,"$12,744.11"
14-Mar-2013,"$12,799.91"
15-Mar-2013,"$12,830.03"
18-Mar-2013,"$12,781.76"
19-Mar-2013,"$12,773.87"
20-Mar-2013,"$12,826.55"
21-Mar-2013,"$12,747.87"
22-Mar-2013,"$12,757.35"
25-Mar-2013,"$12,680.71"
26-Mar-2013,"$12,706.38"
27-Mar-2013,"$12,699.65"
28-Mar-2013,"$12,749.90"
1-Apr-2013,"$12,695.14"
2-Apr-2013,"$12,682.10"
3-Apr-2013,"$12,422.12"
4-Apr-2013,"$12,363.05"
5-Apr-2013,"$12,331.85"
8-Apr-2013,"$12,344.56"
9-Apr-2013,"$12,484.05"
10-Apr-2013,"$12,534.91"
11-Apr-2013,"$12,481.37"
12-Apr-2013,"$12,337.59"
15-Apr-2013,"$12,004.88"
16-Apr-2013,"$12,119.92"
17-Apr-2013,"$11,947.29"
18-Apr-2013,"$11,996.34"
19-Apr-2013,"$12,065.55"
22-Apr-2013,"$12,090.68"
23-Apr-2013,"$12,090.94"
24-Apr-2013,"$12,270.43"
25-Apr-2013,"$12,329.51"
26-Apr-2013,"$12,220.20"
29-Apr-2013,"$12,312.67"
30-Apr-2013,"$12,456.50"
1-May-2013,"$12,321.29"
2-May-2013,"$12,379.64"
3-May-2013,"$12,438.03"
6-May-2013,"$12,453.92"
7-May-2013,"$12,464.11"
8-May-2013,"$12,585.05"
9-May-2013,"$12,543.90"
10-May-2013,"$12,589.09"
13-May-2013,"$12,529.55"
14-May-2013,"$12,577.05"
15-May-2013,"$12,473.65"
16-May-2013,"$12,507.60"
17-May-2013,"$12,613.05"
21-May-2013,"$12,742.43"
22-May-2013,"$12,752.50"
23-May-2013,"$12,658.09"
24-May-2013,"$12,667.22"
27-May-2013,"$12,696.37"
28-May-2013,"$12,750.52"
29-May-2013,"$12,732.61"
30-May-2013,"$12,746.55"
31-May-2013,"$12,650.42"
3-Jun-2013,"$12,609.80"
4-Jun-2013,"$12,593.97"
5-Jun-2013,"$12,443.65"
6-Jun-2013,"$12,409.33"
7-Jun-2013,"$12,373.30"
10-Jun-2013,"$12,382.67"
11-Jun-2013,"$12,223.57"
12-Jun-2013,"$12,109.89"
13-Jun-2013,"$12,277.13"
14-Jun-2013,"$12,187.36"
17-Jun-2013,"$12,288.90"
18-Jun-2013,"$12,367.46"
19-Jun-2013,"$12,268.29"
20-Jun-2013,"$11,968.57"
21-Jun-2013,"$11,995.66"
24-Jun-2013,"$11,836.86"
25-Jun-2013,"$12,005.42"
26-Jun-2013,"$11,951.90"
27-Jun-2013,"$12,005.78"
28-Jun-2013,"$12,129.11"
2-Jul-2013,"$12,178.38"
3-Jul-2013,"$12,145.68"
4-Jul-2013,"$12,166.66"
5-Jul-2013,"$12,134.91"
8-Jul-2013,"$12,208.87"
9-Jul-2013,"$12,297.09"
10-Jul-2013,"$12,306.93"
11-Jul-2013,"$12,493.26"
12-Jul-2013,"$12,462.18"
15-Jul-2013,"$12,528.35"
16-Jul-2013,"$12,516.89"
17-Jul-2013,"$12,568.77"
18-Jul-2013,"$12,628.85"
19-Jul-2013,"$12,685.13"
22-Jul-2013,"$12,758.38"
23-Jul-2013,"$12,745.38"
24-Jul-2013,"$12,672.30"
25-Jul-2013,"$12,669.14"
26-Jul-2013,"$12,647.90"
29-Jul-2013,"$12,669.04"
30-Jul-2013,"$12,581.75"
31-Jul-2013,"$12,486.64"
1-Aug-2013,"$12,593.96"
2-Aug-2013,"$12,603.25"
6-Aug-2013,"$12,469.32"
7-Aug-2013,"$12,412.73"
8-Aug-2013,"$12,552.92"
9-Aug-2013,"$12,542.13"
12-Aug-2013,"$12,594.27"
13-Aug-2013,"$12,642.19"
14-Aug-2013,"$12,639.30"
15-Aug-2013,"$12,704.52"
16-Aug-2013,"$12,736.92"
19-Aug-2013,"$12,588.02"
20-Aug-2013,"$12,670.11"
21-Aug-2013,"$12,573.08"
22-Aug-2013,"$12,674.35"
23-Aug-2013,"$12,762.30"
26-Aug-2013,"$12,760.30"
27-Aug-2013,"$12,591.21"
28-Aug-2013,"$12,607.22"
29-Aug-2013,"$12,704.73"
30-Aug-2013,"$12,653.90"
3-Sep-2013,"$12,740.50"
4-Sep-2013,"$12,757.81"
5-Sep-2013,"$12,845.06"
6-Sep-2013,"$12,820.92"
9-Sep-2013,"$12,854.64"
10-Sep-2013,"$12,824.48"
11-Sep-2013,"$12,825.42"
12-Sep-2013,"$12,701.05"
13-Sep-2013,"$12,723.40"
16-Sep-2013,"$12,816.88"
17-Sep-2013,"$12,834.11"
18-Sep-2013,"$12,931.40"
19-Sep-2013,"$12,926.78"
20-Sep-2013,"$12,806.47"
23-Sep-2013,"$12,811.18"
24-Sep-2013,"$12,848.89"
25-Sep-2013,"$12,836.71"
26-Sep-2013,"$12,841.62"
27-Sep-2013,"$12,844.08"
30-Sep-2013,"$12,787.19"
1-Oct-2013,"$12,847.44"
2-Oct-2013,"$12,839.00"
3-Oct-2013,"$12,735.12"
4-Oct-2013,"$12,758.65"
7-Oct-2013,"$12,788.25"
